model_name,run_id,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
XGBoost,086d0cd9ac904888982959538b45ab66,0.685064935064935,0.5913747507864421,0.778223055112487,0.6177657039675685,0.44357723577235775,0.33331523200546986,0.3308571174512328,0.3110205061618346,0.4398360655737705,0.33381654124841725,0.335765313455509,0.31404281860078403
Random Forest,fcc80c07d2af4003932c0298ce9abba3,0.5177365491651206,0.3672228364234762,0.3721819682978669,0.33634806664051525,0.5047967479674796,0.3268466687673493,0.3273327225746669,0.30335924995713887,0.499672131147541,0.34023690521318994,0.33604641209460945,0.3097014153470738
Logistic Regression,498b7b717b904c47be118a73a8535c77,0.3291465677179963,0.33704056425975587,0.34282748443619093,0.2754155080963191,0.3258536585365854,0.3317615715784947,0.33221227387475966,0.2681426507768218,0.32459016393442625,0.33350880410854683,0.3378394306895574,0.2713103516372423
